Year,nom_departement,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
2019,ALPES-MARITIMES,2567.0,23498117.0,107426.0
2019,AUDE,52.0,1966821.0,7355.0
2019,BAS-RHIN,647.0,2319361.0,9763.0
2019,BOUCHES-DU-RHONE,1175.0,10420934.0,39893.0
2019,CALVADOS,197.0,2192665.0,9311.0
2019,CHARENTE-MARITIME,220.0,2072775.0,7873.0
2019,CORREZE,58.0,2718003.0,15376.0
2019,CORSE-DU-SUD,161.0,2407402.0,11106.0
2019,COTE-D'OR,174.0,2173765.0,8786.0
2019,DEUX-SEVRES,52.0,2256245.0,10203.0
2019,DOUBS,97.0,1970040.0,7082.0
2019,DROME,61.0,2458973.0,10270.0
2019,ESSONNE,205.0,7475743.0,31323.0
2019,EURE-ET-LOIR,88.0,2274040.0,10164.0
2019,FINISTERE,76.0,2356790.0,10278.0
2019,GARD,209.0,2004702.0,7771.0
2019,GIRONDE,835.0,15098204.0,61244.0
2019,HAUT-RHIN,169.0,4779313.0,21441.0
2019,HAUTE-CORSE,59.0,2196292.0,9580.0
2019,HAUTE-GARONNE,61.0,2213884.0,8848.0
2019,HAUTE-SAVOIE,564.0,4098541.0,15979.0
2019,HAUTE-VIENNE,131.0,2285481.0,9985.0
2019,HAUTES-ALPES,57.0,2235849.0,9388.0
2019,HAUTS-DE-SEINE,5907.0,54794395.0,211207.0
2019,HERAULT,671.0,8503037.0,33583.0
2019,ILLE-ET-VILAINE,639.0,4654317.0,20947.0
2019,INDRE-ET-LOIRE,176.0,2068887.0,7743.0
2019,ISERE,178.0,2167094.0,8652.0
2019,LA REUNION,666.0,9127291.0,40736.0
2019,LOIRE,83.0,1895126.0,6012.0
2019,LOIRE-ATLANTIQUE,945.0,6115765.0,22467.0
2019,LOIRET,148.0,2280243.0,9592.0
2019,MAINE-ET-LOIRE,160.0,1926256.0,6715.0
2019,MARNE,243.0,2145815.0,8335.0
2019,MAYENNE,66.0,2479986.0,11821.0
2019,MEURTHE-ET-MOSELLE,184.0,2314728.0,8874.0
2019,MORBIHAN,145.0,1977304.0,7194.0
2019,MOSELLE,194.0,4077398.0,15494.0
2019,NORD,938.0,18159935.0,71167.0
2019,OISE,162.0,5568702.0,26747.0
2019,PARIS,5603.0,21517400.0,94846.0
2019,PUY-DE-DOME,107.0,1936636.0,6514.0
2019,PYRENEES-ATLANTIQUES,666.0,8241032.0,32744.0
2019,PYRENEES-ORIENTALES,133.0,2096482.0,8602.0
2019,RHONE,689.0,12629593.0,47976.0
2019,SARTHE,155.0,2120569.0,8326.0
